"TP53","CDKN1A","CDKN2A","SIRT1","RB1","TERT","CDK4","CDKN2B","MAPK1","MAPK14","MTOR","TERF2","UBC","CDK6","HMGA2","E2F1","CCNA2","MDM2","CXCL8","HSPA8","LMNB1","MAPK3","MAPKAPK5","ATM","CDKN1B","score"
"TCGA-3C-AALJ-01A-31R-A41B-07",37.647,221.0373,8.229,32.5978,20.7573,0.4442,66.7381,12.4903,37.6957,16.4623,16.3168,16.0406,875.6479,3.1775,0.0918,41.8791,17.2744,17.7318,0.5563,340.4688,65.1032,101.3551,13.8195,4.7076,53.2004,0.624233656526734
"TCGA-5L-AAT1-01A-12R-A41B-07",59.3522,163.1195,7.7578,19.3173,24.8228,0,64.8653,14.5063,69.3361,30.2205,17.9246,17.0735,690.9995,5.2358,0.2149,5.6021,3.7926,16.5365,2.579,879.123,18.2976,95.9645,9.2354,6.5916,145.7242,0.474483047840253
"TCGA-A1-A0SB-01A-11R-A144-07",159.466,101.866,4.0992,39.8698,49.1383,0.2352,87.9796,3.9378,128.1477,35.0503,37.2977,28.6062,634.1448,116.5525,0.2021,15.8195,14.5672,25.7679,1.2437,897.1169,42.8769,60.3399,13.1105,13.2913,81.1539,0.285686635052744
"TCGA-A1-A0SG-01A-11R-A144-07",53.8095,396.2374,5.9026,19.0784,42.0671,0.0561,64.1698,23.9619,97.7288,38.9025,39.6199,13.4258,641.9035,15.7984,0.172,17.7167,9.1672,48.932,0.3562,806.9157,33.5178,249.0077,9.9751,7.4702,106.9715,0.514210135810833
"TCGA-A1-A0SM-01A-11R-A084-07",35.1115,241.5578,4.5966,25.6315,51.9751,0.0557,38.6441,32.2676,103.9983,30.333,14.7769,15.1948,998.7303,4.5389,0.1203,26.0641,18.2357,20.2619,64.2725,985.7033,63.6738,65.2355,8.0621,5.5353,244.5731,0.549727410561631
"TCGA-A1-A0SO-01A-22R-A084-07",148.2631,11.672,52.5362,29.4889,6.5123,2.3592,144.7418,4.6423,124.3356,60.4307,32.9959,20.0479,583.3809,9.9981,0.1229,92.0606,73.6765,12.4352,6.7341,1346.4351,180.7293,70.1924,14.1693,10.0695,168.5085,0.40083551082293
"TCGA-A2-A04N-01A-11R-A115-07",80.9765,134.5299,7.4993,23.6737,37.2818,0.1545,49.2361,24.5783,82.0176,31.4719,22.7988,11.6758,663.1651,6.9813,0.13,11.2193,9.6275,18.7987,1.663,598.7106,36.8967,149.5749,10.3787,6.895,107.0658,0.288880286460854
"TCGA-A2-A04T-01A-21R-A034-07",116.6966,91.5984,28.2552,18.9651,7.2721,0.5887,152.4165,3.2414,89.1083,37.9498,25.158,28.0341,416.0122,15.8863,0.8808,72.7367,79.5376,33.5881,0.5722,856.6707,143.6558,60.1166,8.9291,4.7235,158.2769,0.657859605522744
"TCGA-A2-A0CK-01A-11R-A22K-07",46.2035,90.1035,5.7865,29.6886,26.2098,0.052,44.8291,26.1451,55.3206,24.7259,13.5556,15.1188,608.8714,1.9928,0.0163,28.8261,12.977,12.0726,2.1456,442.8808,48.0957,101.2907,10.6147,3.1321,351.9409,0
"TCGA-A2-A0CO-01A-13R-A22K-07",33.3154,468.0533,7.754,21.6891,24.2893,0.0778,43.4096,15.1443,67.0933,25.2259,22.5391,15.9939,407.1265,4.8528,0.0349,7.0175,4.5716,10.9753,6.7565,495.9247,19.8786,117.7431,7.6161,9.2574,190.7811,0.434723700764541
"TCGA-A2-A0CP-01A-11R-A034-07",69.3618,137.0968,11.3301,12.7246,22.4496,0.0148,49.6942,21.6793,50.5344,22.0289,14.2014,11.1345,501.3028,4.3861,0.0875,4.0174,1.5986,12.6484,2.2759,384.7399,11.1003,95.9532,6.3049,4.4495,85.7013,0.20437756056647
"TCGA-A2-A0CQ-01A-21R-A034-07",59.8533,70.172,2.358,18.7301,24.1758,0.0467,29.3996,5.1788,42.4129,8.784,15.7142,11.1611,741.1661,0.7861,0.0214,10.3533,8.2921,11.8986,1.028,193.5042,41.434,93.4472,6.2383,6.5102,96.3923,0.177263782702668
"TCGA-A2-A0CS-01A-11R-A115-07",88.8437,98.7013,4.1061,20.8147,30.5539,0,59.946,14.7815,73.8279,28.1475,14.9553,15.5657,593.2528,2.6975,0.0316,9.3525,7.0757,15.9282,1.6305,670.1477,27.241,110.7501,8.9992,5.1782,106.468,0.683355129948026
"TCGA-A2-A0CT-01A-31R-A056-07",28.3913,129.8706,6.0479,39.0646,38.9191,0.3744,66.2457,16.6801,108.41,74.8893,21.7295,17.167,558.2517,20.1155,0.3383,63.45,41.7567,21.9773,25.9382,657.1415,46.6145,254.126,10.169,3.6328,288.3491,0.569324816929578
"TCGA-A2-A0CU-01A-12R-A034-07",26.2922,186.7971,2.871,26.7827,37.7303,0.087,43.0941,16.588,75.8068,28.7167,25.0235,20.4779,750.5692,4.8792,0.0076,33.7033,23.5419,33.3638,0.7409,587.6292,39.6448,105.4667,11.1444,2.9668,222.3772,0.462676215361786
"TCGA-A2-A0CW-01A-21R-A115-07",10.198,43.6802,4.6964,27.75,21.6332,1.6762,85.076,6.8687,53.9105,41.8084,25.9926,25.2637,765.3936,4.6597,0.0177,44.9205,51.8156,15.7533,0.548,1510.7557,166.744,132.0282,17.0492,4.3274,92.1601,0.560421303913029
"TCGA-A2-A0CY-01A-12R-A034-07",51.9212,17.74,1.0589,9.9387,16.1206,3.7431,41.5358,3.6475,35.3648,12.2891,7.3911,11.3709,477.9397,0.3764,0.0109,16.3324,14.9498,9.2911,93.4813,362.8488,28.7607,48.8396,8.3871,2.4051,60.965,0.327895857104406
"TCGA-A2-A0D0-01A-11R-A00Z-07",10.1837,30.9719,70.0704,15.445,19.3025,0.1948,102.8763,7.0171,44.4504,20.4112,21.0799,19.1429,734.338,28.9339,2.1092,94.266,79.7304,10.331,46.9959,739.7867,81.2456,44.8178,12.7326,4.2731,52.6653,0.22749820151961
"TCGA-A2-A0D1-01A-11R-A034-07",14.9551,21.9538,1.2139,20.3527,13.2704,0.0839,36.36,5.5846,48.6041,20.8041,24.6458,17.6217,369.5177,0.7605,0.0371,46.9877,31.0253,5.0109,29.6258,955.9296,78.2421,58.4145,3.8161,5.1615,6.6768,0.501701071225334
"TCGA-A2-A0EM-01A-11R-A034-07",70.2203,49.9224,3.9238,45.6979,49.1,0.0108,59.102,19.1504,119.2225,35.7771,28.6054,15.985,506.7664,4.044,0.11,17.3087,14.9473,21.3996,0.8831,1143.1995,43.7499,79.1488,7.2323,7.7173,134.3016,0.448595115971483
"TCGA-A2-A0EN-01A-13R-A084-07",40.128,105.2221,9.614,20.6355,32.9145,0.0755,34.353,21.3447,55.5018,25.9599,12.3164,13.8775,829.849,12.5283,0.1542,5.73,8.7469,10.5614,0.4589,913.3259,25.2964,68.9344,6.2367,7.5006,68.2967,0.474402400077422
"TCGA-A2-A0EQ-01A-11R-A034-07",69.8176,43.629,3.7032,22.6158,26.2046,0.1643,62.0385,2.5856,65.7416,23.3607,19.4014,14.6583,640.7304,4.8736,0.0102,35.8778,33.7418,11.0029,3.6816,451.7369,74.2274,48.7575,7.6166,4.2178,61.6192,0.844962740733572
"TCGA-A2-A0ER-01A-21R-A034-07",29.4854,118.6322,3.0393,40.367,56.3139,0.173,41.6665,10.716,128.855,41.9076,39.0271,25.5805,706.9957,2.5243,0.0394,33.9738,24.3491,61.4627,1.3967,917.8042,44.7455,200.0182,12.4904,6.4032,314.8848,0.325800832284912
"TCGA-A2-A0EU-01A-22R-A056-07",85.7476,245.1981,6.2783,61.3975,38.1584,0.1891,67.6419,17.7935,99.294,45.9542,21.6644,23.2645,794.1911,3.7702,0.2441,44.9502,20.7494,47.4664,42.4678,1095.8285,54.4366,218.8576,17.9149,6.5847,191.8992,0.380286460853576
"TCGA-A2-A0EV-01A-11R-A034-07",41.2865,130.9093,5.1707,25.3614,36.5071,0.0409,69.3069,35.1393,81.5601,47.2322,33.2705,18.7727,839.565,5.0031,0.2048,20.6712,15.8092,31.1262,3.405,1124.2711,81.3418,93.8191,11.1325,8.1127,102.2834,0.527146036968934
"TCGA-A2-A0EY-01A-11R-A034-07",62.4647,72.2391,2.9614,23.0835,66.4151,0.4274,75.7721,19.8628,89.9788,45.1507,18.6012,30.7168,529.0513,32.5961,0.0839,31.5512,18.6539,13.4779,3.2822,1173.1437,22.0352,71.3836,9.5483,7.995,74.4203,0.893915932772025
"TCGA-A2-A0ST-01A-12R-A084-07",72.7414,66.084,50.3614,20.7585,16.732,0.0788,46.7445,10.1379,55.3308,31.5523,14.9349,16.365,554.6955,18.4605,0.0069,14.5738,30.2118,10.9165,1.5981,686.2066,65.5163,39.8004,6.7066,8.452,103.086,0.655182425239524
"TCGA-A2-A0SU-01A-11R-A084-07",48.856,91.2549,4.0225,37.9897,32.0245,0.0924,57.2513,8.7122,78.832,32.667,28.8378,14.3264,719.8058,5.1776,0.1037,17.922,23.0315,15.1299,2.0241,932.2074,45.6388,301.919,8.5017,4.5804,275.6558,0.465095648246718
"TCGA-A2-A0SV-01A-11R-A084-07",67.7731,109.618,5.6509,9.4768,19.6579,0.1186,77.9755,8.0161,59.544,33.0532,21.5671,28.3399,711.0888,3.6869,0.0621,51.1772,34.528,10.4771,8.1953,1447.8314,93.0521,78.641,6.2106,4.9862,128.6212,0.544001419400626
"TCGA-A2-A0SW-01A-11R-A084-07",26.6196,37.4601,8.4792,13.092,11.9882,0.3143,42.711,15.8049,30.7967,15.3184,14.7726,12.0467,441.6086,4.2325,0.0253,20.9865,19.9895,10.7888,3.7207,549.4824,93.805,45.7104,5.8445,5.602,22.4049,0.679150940352915
