"Pvalue","correlation","name","method"
"T cell_MCPcounter",0.000140944147959949,0.167283706965223,"T cell_MCPcounter","MCPcounter"
"T cell CD8+_MCPcounter",0.0303120422797947,0.0956447285429141,"T cell CD8+_MCPcounter","MCPcounter"
"cytotoxicity score_MCPcounter",1.92781823235587e-06,0.208392839456179,"cytotoxicity score_MCPcounter","MCPcounter"
"NK cell_MCPcounter",0.84663093045623,-0.00856037774195676,"NK cell_MCPcounter","MCPcounter"
"B cell_MCPcounter",0.0023013457197279,0.134303446464553,"B cell_MCPcounter","MCPcounter"
"Monocyte_MCPcounter",1.0009659864799e-11,0.294535301350213,"Monocyte_MCPcounter","MCPcounter"
"Macrophage/Monocyte_MCPcounter",1.0009659864799e-11,0.294535301350213,"Macrophage/Monocyte_MCPcounter","MCPcounter"
"Myeloid dendritic cell_MCPcounter",0.000652213860615996,0.150020704667364,"Myeloid dendritic cell_MCPcounter","MCPcounter"
"Neutrophil_MCPcounter",0.167747685530819,-0.060997477026115,"Neutrophil_MCPcounter","MCPcounter"
"Endothelial cell_MCPcounter",0.0303073335318348,-0.0956474371722935,"Endothelial cell_MCPcounter","MCPcounter"
"Cancer associated fibroblast_MCPcounter",0.211698118118638,0.0552333447386856,"Cancer associated fibroblast_MCPcounter","MCPcounter"
"B cell_quantiseq",0.601034534884433,0.0231405465874501,"B cell_quantiseq","quantiseq"
"Macrophage M1_quantiseq",3.61025135058349e-10,0.272245972597552,"Macrophage M1_quantiseq","quantiseq"
"Macrophage M2_quantiseq",0.315069321308064,-0.0444425166145372,"Macrophage M2_quantiseq","quantiseq"
"Monocyte_quantiseq",0.463837114909763,-0.0324131394515516,"Monocyte_quantiseq","quantiseq"
"Neutrophil_quantiseq",0.566874203112469,-0.0253413604716179,"Neutrophil_quantiseq","quantiseq"
"NK cell_quantiseq",2.58281126827785e-06,-0.205850464219713,"NK cell_quantiseq","quantiseq"
"T cell CD4+ (non-regulatory)_quantiseq",0.784029155568243,-0.0121297260625148,"T cell CD4+ (non-regulatory)_quantiseq","quantiseq"
"T cell CD8+_quantiseq",4.07306337126755e-06,0.201826529061441,"T cell CD8+_quantiseq","quantiseq"
"T cell regulatory (Tregs)_quantiseq",6.58749200159744e-09,0.252577370946725,"T cell regulatory (Tregs)_quantiseq","quantiseq"
